nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dlv_p,o_dlv_e,o_hops,legs,i1_rcs_p_normalized,i1_rcs_e_normalized,i1_dep_1_p_normalized,i1_dep_1_e_normalized,i1_rcf_1_p_normalized,i1_rcf_1_e_normalized,i1_dlv_p_normalized,i1_dlv_e_normalized,o_rcs_p_normalized,o_rcs_e_normalized,o_dep_1_p_normalized,o_dep_1_e_normalized,o_rcf_1_p_normalized,o_rcf_1_e_normalized,o_dlv_p_normalized,o_dlv_e_normalized
10.0,12343.0,748.0,96.0,150.0,758.0,281.0,395.0,152.0,128.0,,,,,,,3960.0,193.0,1.0,8553,231.0,154.0,150.0,187.0,308,620.0,643.0,128,,,,,,,4200.0,282.0,1,,,,,,,,,,,,,13961.0,1580.0,1088.0,240.0,685.0,128.0,905.0,581.0,413.0,,,,,,,3960.0,223.0,1.0,2.0,0.015746529617463177,0.002049357149020623,0.026776151374509106,0.07929330108318434,0.0696828923449808,0.0036480067186310788,0.3882896764252697,0.002110446711220542,0.03205715332478476,0.022177337087362792,0.09803921568627451,0.054502369668246446,0.17405383525602106,0.10509150208371082,0.32978723404255317,0.00039633727230691505
11.0,8473.0,1415.0,1157.0,150.0,346.0,377.0,280.0,179.0,485.0,,,,,,,5160.0,977.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11830.0,730.0,591.0,180.0,257.0,485.0,145.0,127.0,281.0,,,,,,,2880.0,20.0,1.0,1.0,0.02988237787432447,0.02493744067650358,0.026776151374509106,0.035965927016510676,0.04645526156332054,0.004356612340235677,0.5115562403697997,0.010728104115371086,0.014756467403472352,0.012037377075937487,0.058823529411764705,0.019529334858637032,0.020238818053025704,0.022830222866461317,0.2340425531914894,3.392075753978102e-05
12.0,9931.0,898.0,112.0,240.0,965.0,281.0,415.0,186.0,815.0,,,,,,,6715.0,11.0,1.0,11023,974.0,310.0,240.0,845.0,281,415.0,157.0,815,,,,,,,5160.0,47.0,1,9401,227.0,216.0,150.0,102.0,614,455.0,187.0,815,5005.0,869.0,1,4744.0,238.0,59.0,135.0,254.0,815.0,280.0,319.0,485.0,,,,,,,5160.0,140.0,1.0,3.0,0.018925505987072162,0.002394512037276728,0.05890753302392003,0.10106215164580923,0.07372248030700868,0.0045403249087998315,0.6712891628145866,0.00010991909954273655,0.004742423317253872,0.001183335373566736,0.029411764705882346,0.019284196764177152,0.0475612224246104,0.057619133901069035,0.43617021276595747,0.00024815712094892426
13.0,12666.0,3140.0,3004.0,240.0,324.0,445.0,995.0,808.0,128.0,,,,,,,3960.0,200.0,1.0,7177,1499.0,733.0,300.0,1059.0,413,970.0,759.0,128,,,,,,,3960.0,1320.0,1,,,,,,,,,,,,,600.0,395.0,40.0,165.0,475.0,128.0,1275.0,1058.0,413.0,,,,,,,3960.0,934.0,1.0,2.0,0.0664406061248278,0.0647812580895677,0.05890753302392003,0.03365232937217373,0.190870531205817,0.02086449885835761,0.3882896764252697,0.0021873900809004573,0.007937961775660989,0.0007956910270534948,0.04901960784313725,0.037342703056054916,0.24893746205221615,0.19152020293531435,0.32978723404255317,0.001665687725506089
14.0,14132.0,142.0,136.0,240.0,182.0,456.0,1085.0,1093.0,349.0,,,,,,,550.0,289.0,1.0,12448,2331.0,1814.0,180.0,653.0,671,890.0,917.0,349,,,,,,,550.0,1528.0,1,11408,447.0,538.0,180.0,36.0,468,935.0,987.0,349,385.0,693.0,1,3390.0,405.0,133.0,180.0,406.0,349.0,840.0,749.0,149.0,,,,,,,6680.0,164.0,1.0,3.0,0.002903465084242874,0.0029122443696608853,0.05890753302392003,0.018719108213271635,0.20904867703494243,0.02834422486418392,0.03800719054956343,0.003165670066830813,0.008141499257088194,0.002693108091565675,0.058823529411764705,0.0317045268834777,0.16089860352155436,0.13553179923899256,0.5709219858156028,0.0002910043936307529
15.0,13119.0,1081.0,413.0,180.0,859.0,753.0,1575.0,928.0,511.0,1014.0,1531.0,511,961.0,1282.0,815,9720.0,687.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11725.0,37994.0,36949.0,90.0,1075.0,815.0,1210.0,983.0,700.0,,,,,,,3780.0,11.0,1.0,1.0,0.022803857157995124,0.008887738372594703,0.037486611924312754,0.08991481754127668,0.3080185821046253,0.024013857176600265,0.979969183359014,0.007540450228631727,0.7732185381938085,0.7538254376300648,0.0,0.08637032194803072,0.23578223031774945,0.1779307845624207,0.31382978723404253,1.785303028409527e-05
16.0,13572.0,778.0,254.0,420.0,894.0,349.0,1410.0,2375.0,548.0,,,,,,,320.0,580.0,1.0,5770,1191.0,792.0,420.0,792.0,349,1411.0,1353.0,548,,,,,,,604.0,2110.0,1,,,,,,,,,,,,,4551.0,2931.0,2589.0,240.0,532.0,548.0,920.0,720.0,128.0,,,,,,,3960.0,108.0,1.0,2.0,0.016382324891384973,0.0054577616705496585,0.12317029632274189,0.09359554106635819,0.27469198141789536,0.061989869564076316,0.014381099126861838,0.006364315863524446,0.05955506706560013,0.052801240461908844,0.09803921568627451,0.042000326850792614,0.1770896579639749,0.13027722413480702,0.32978723404255317,0.00019102742403981942
17.0,1388.0,27415.0,26485.0,90.0,963.0,815.0,1220.0,1027.0,700.0,,,,,,,3780.0,5.0,1.0,13517,3366.0,1315.0,90.0,2099.0,485,1250.0,840.0,700,,,,,,,3780.0,427.0,1,,,,,,,,,,,,,2421.0,927.0,390.0,90.0,565.0,700.0,2320.0,1527.0,411.0,,,,,,,3420.0,1681.0,1.0,2.0,0.5809049486065487,0.5713176287859176,0.0053552302749018225,0.10085182458723314,0.23631589577863057,0.026612077789150458,0.3697996918335902,4.396763981709462e-05,0.018766155787588286,0.007936507936507938,0.0,0.04469684588985129,0.46043311070633475,0.2764993658271426,0.28191489361702127,0.0029993090877280058
18.0,4697.0,671.0,140.0,240.0,713.0,815.0,280.0,381.0,153.0,,,,,,,5160.0,2959.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321.0,3180.0,1730.0,90.0,1590.0,153.0,1240.0,733.0,700.0,5.0,409.0,700,935.0,635.0,538,3780.0,1115.0,2.0,1.0,0.014114655081063897,0.0029985330917249114,0.05890753302392003,0.07456094226522242,0.04645526156332054,0.009658032175944152,0.5115562403697997,0.03251406964474147,0.06462315035313754,0.03527563553270494,0.0,0.1284523614969766,0.24185387573365716,0.13263272331944193,0.31382978723404253,0.0019888275736482134
19.0,13297.0,5442.0,4568.0,120.0,934.0,236.0,420.0,260.0,815.0,495.0,655.0,815,810.0,688.0,441,5040.0,3013.0,2.0,10625,518.0,488.0,170.0,140.0,134,465.0,543.0,349,1210.0,1150.0,349,920.0,808.0,441,1175.0,1037.0,2,,,,,,,,,,,,,2033.0,1317.0,1283.0,360.0,629.0,441.0,700.0,784.0,349.0,,,,,,,550.0,492.0,1.0,2.0,0.11522729681042704,0.09852014841660195,0.01606569082470546,0.0978020822378799,0.07473237729751564,0.006482429205049471,0.49922958397534667,0.033107632782272245,0.026704117563249273,0.026155792222630266,0.1764705882352941,0.04992645857166204,0.13256425824731835,0.14187352781300958,0.027482269503546097,0.0008765837869490777
20.0,9481.0,327.0,167.0,90.0,278.0,579.0,1010.0,584.0,128.0,,,,,,,3780.0,358.0,1.0,9455,302.0,53.0,90.0,268.0,579,1010.0,562.0,128,,,,,,,3780.0,260.0,1,,,,,,,,,,,,,11277.0,606.0,52.0,240.0,763.0,128.0,810.0,542.0,409.0,,,,,,,3960.0,7005.0,1.0,2.0,0.006824202606760623,0.0035809819656570886,0.0053552302749018225,0.028814807024923755,0.1939002221773379,0.014985696664304647,0.3697996918335902,0.0039241118536756945,0.012232602633775012,0.0010405190353776472,0.09803921568627451,0.06087596012420331,0.15482695810564664,0.09802500452980613,0.32978723404255317,0.012504262410980327
21.0,5838.0,249.0,116.0,150.0,223.0,391.0,385.0,155.0,815.0,,,,,,,3160.0,3518.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.0,82.0,16.0,135.0,138.0,815.0,285.0,157.0,485.0,,,,,,,5160.0,432.0,1.0,1.0,0.005171134894563951,0.002480800759340754,0.026776151374509106,0.023030812914081395,0.06766309836396688,0.003726740676587145,0.3061119671289163,0.03865854730918044,0.0015672386069894772,0.00030603501040519035,0.029411764705882346,0.009805523778395164,0.04857316332726169,0.02826599021561877,0.43617021276595747,0.0007694656052445062
22.0,10613.0,2127.0,234.0,300.0,2158.0,332.0,705.0,783.0,815.0,,,,,,,5400.0,1459.0,1.0,9378,47.0,34.0,150.0,100.0,614,455.0,189.0,815,,,,,,,5005.0,873.0,1,8092,1252.0,410.0,150.0,932.0,349,350.0,72.0,815,2880.0,236.0,1,11117.0,139.0,34.0,240.0,292.0,815.0,945.0,867.0,403.0,,,,,,,5160.0,2060.0,1.0,3.0,0.04497191904206845,0.005026318060229528,0.08032845412352732,0.22652224208644442,0.13229650575641286,0.020208382542057052,0.5362095531587058,0.016026204713330987,0.002727402251124545,0.0006732770228914187,0.09803921568627451,0.022389279294002286,0.18214936247723135,0.15691248414567854,0.43617021276595747,0.0036759389354952166
23.0,1363.0,287.0,172.0,150.0,179.0,746.0,870.0,828.0,349.0,905.0,983.0,349,4941.0,834.0,778,2735.0,3341.0,2.0,9350,813.0,426.0,330.0,659.0,349,5001.0,787.0,778,,,,,,,2854.0,2207.0,1,,,,,,,,,,,,,9042.0,4583.0,4312.0,780.0,1057.0,778.0,1205.0,832.0,349.0,1360.0,1623.0,349,1075.0,808.0,757,1075.0,4090.0,2.0,2.0,0.005976475574864894,0.003688842868237121,0.026776151374509106,0.018403617625407508,0.1656231064431428,0.02138939191139805,0.2624550590652286,0.03671297924727401,0.09317945899737437,0.0879544619904517,0.4509803921568627,0.08489949338127145,0.23477028941509817,0.15057075557166152,0.07402482269503546,0.007300104083166557
24.0,4038.0,295.0,98.0,240.0,382.0,815.0,270.0,143.0,391.0,,,,,,,5070.0,2015.0,1.0,13373,921.0,389.0,300.0,814.0,628,910.0,1544.0,128,2855.0,2210.0,128,960.0,805.0,391,3960.0,1629.0,2,14188,3954.0,657.0,210.0,2422.0,233,330.0,947.0,281,3810.0,1569.0,2,5171.0,989.0,343.0,240.0,830.0,391.0,270.0,134.0,815.0,380.0,515.0,815,260.0,156.0,783,5100.0,1966.0,2.0,3.0,0.0061460209812440394,0.002092501510052636,0.05890753302392003,0.03975181407088022,0.0444354675823066,0.0034118048447628795,0.50231124807396,0.02213770664790714,0.020028088172436953,0.00697759823723834,0.09803921568627451,0.06635071090047394,0.04553734061930784,0.02409856858126472,0.4308510638297872,0.003508120450824721
25.0,3091.0,692.0,72.0,270.0,851.0,349.0,930.0,1062.0,456.0,,,,,,,435.0,3613.0,1.0,6901,59.0,87.0,240.0,171.0,128,970.0,864.0,456,,,,,,,3960.0,122.0,1,1309,3204.0,820.0,240.0,2586.0,398,815.0,705.0,456,9700.0,213.0,1,324.0,1233.0,380.0,150.0,944.0,456.0,1030.0,821.0,128.0,925.0,1167.0,128,705.0,631.0,667,4230.0,5859.0,2.0,3.0,0.014559711772809155,0.0015316248166364656,0.06961799357372368,0.08907350930697235,0.17774187032922642,0.027530640631971234,0.026194144838212637,0.03970277875483644,0.024994402719260754,0.0077324845962378095,0.0392156862745098,0.07566595848994934,0.19935235782230318,0.14857764087697045,0.3537234042553191,0.01045830514042301
26.0,13510.0,1211.0,494.0,90.0,772.0,485.0,1250.0,897.0,700.0,,,,,,,3780.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8957.0,860.0,525.0,90.0,368.0,700.0,1935.0,1424.0,431.0,,,,,,,3780.0,1287.0,1.0,1.0,0.025558970011656246,0.010635084994391234,0.0053552302749018225,0.08076559049321695,0.24237527772167236,0.02320027294438758,0.3697996918335902,3.2975729862820967e-05,0.01740245466202601,0.01069082303015465,0.0,0.028599444353652557,0.3825136612021858,0.2578365645950353,0.31382978723404253,0.002295899694534652
27.0,4991.0,115.0,51.0,240.0,227.0,476.0,975.0,731.0,815.0,,,,,,,6465.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9817.0,814.0,78.0,135.0,812.0,815.0,300.0,290.0,527.0,,,,,,,5100.0,24.0,1.0,1.0,0.0023312493377132563,0.001078609025800328,0.05890753302392003,0.023451467031233564,0.18683094324378913,0.018843660604151904,0.6456086286594761,6.595145972564193e-05,0.01646618224746087,0.001570979720079977,0.029411764705882346,0.06487988233371467,0.05160898603521555,0.052364558796883495,0.4308510638297872,4.106196965341913e-05
28.0,11674.0,123.0,48.0,420.0,596.0,349.0,1240.0,1048.0,413.0,,,,,,,360.0,365.0,1.0,2270,1064.0,534.0,90.0,563.0,700,860.0,495.0,413,,,,,,,3780.0,1284.0,1,,,,,,,,,,,,,5820.0,2741.0,2591.0,150.0,265.0,413.0,1000.0,761.0,128.0,640.0,862.0,128,95.0,183.0,391,4230.0,2649.0,2.0,2.0,0.0025007947440924025,0.0010138924842523084,0.12317029632274189,0.0622568093385214,0.24035548374065843,0.027163215494842925,0.01848998459167951,0.00400105522335561,0.05568785491848324,0.05284204512996287,0.0392156862745098,0.020183036443863375,0.19328071240639547,0.13770610617865553,0.3537234042553191,0.004727482419228428
29.0,7108.0,342.0,9.0,300.0,583.0,753.0,510.0,322.0,174.0,660.0,784.0,174,1155.0,1805.0,128,3960.0,444.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3618.0,1045.0,36.0,240.0,1195.0,815.0,995.0,884.0,671.0,,,,,,,4680.0,2.0,1.0,1.0,0.0071421002437215214,0.00017257744412805246,0.08032845412352732,0.060889683457776844,0.09291052312664107,0.008109597669474845,0.3882896764252697,0.004869416109743229,0.0211678980684293,0.0007140816909454441,0.09803921568627451,0.09617584572642589,0.1922687715037442,0.1599927523102011,0.3936170212765958,1.7853030284095271e-06
30.0,394.0,1024.0,892.0,420.0,559.0,815.0,845.0,726.0,809.0,,,,,,,3960.0,2341.0,1.0,13723,56.0,24.0,240.0,241.0,128,785.0,516.0,809,,,,,,,3960.0,159.0,1,4861,16266.0,15981.0,240.0,512.0,128,780.0,521.0,809,3960.0,3513.0,1,12166.0,1545.0,1244.0,150.0,411.0,809.0,725.0,606.0,128.0,95.0,192.0,128,210.0,242.0,134,4170.0,2184.0,2.0,3.0,0.02159584613754371,0.019220812839761844,0.12317029632274189,0.058365758754863814,0.16057362149060797,0.018712437340891792,0.3882896764252697,0.025721069293000352,0.03134477213978954,0.025360101195576773,0.0392156862745098,0.03211309037424416,0.1376239627605748,0.1096213082080087,0.348404255319149,0.003897316511017998
31.0,13559.0,139.0,10.0,240.0,305.0,476.0,975.0,818.0,815.0,,,,,,,5040.0,786.0,1.0,144,216.0,87.0,240.0,310.0,476,985.0,741.0,815,,,,,,,6465.0,7.0,1,,,,,,,,,,,,,4319.0,114.0,31.0,240.0,260.0,815.0,465.0,342.0,752.0,,,,,,,5760.0,33561.0,1.0,2.0,0.0028398855568506944,0.000194149624644059,0.05890753302392003,0.03165422231570091,0.18683094324378913,0.02112694538487783,0.49922958397534667,0.008628649314104819,0.002218558547556533,0.0006120700208103806,0.09803921568627451,0.01977447295309691,0.08500303582270796,0.06178655553542308,0.4893617021276596,0.05991476963342373
32.0,11152.0,509.0,283.0,240.0,429.0,398.0,1305.0,369.0,299.0,,,,,,,9040.0,588.0,1.0,8595,1768.0,1674.0,150.0,209.0,411,585.0,634.0,128,1530.0,1538.0,128,570.0,1248.0,299,4230.0,73.0,2,,,,,,,,,,,,,9552.0,16955.0,16424.0,90.0,556.0,299.0,820.0,605.0,700.0,725.0,958.0,700,695.0,229.0,561,3780.0,4388.0,2.0,2.0,0.010681360601886193,0.006083354905513849,0.05890753302392003,0.04469449994741823,0.253484144617249,0.009343096344119886,0.9101181304571135,0.006452251143158635,0.3449960310191122,0.3350675317256294,0.0,0.043961431606471646,0.1568508399109492,0.10944011596303678,0.31382978723404253,0.007832124385632595
33.0,10315.0,136.0,93.0,135.0,166.0,815.0,295.0,201.0,485.0,,,,,,,5160.0,111.0,1.0,5552,1082.0,950.0,240.0,321.0,476,915.0,758.0,128,165.0,399.0,128,1260.0,1276.0,485,3960.0,341.0,2,1781,141.0,83.0,150.0,176.0,128,110.0,122.0,485,4230.0,151.0,1,6793.0,1438.0,256.0,90.0,1209.0,485.0,1240.0,911.0,700.0,125.0,461.0,700,800.0,399.0,635,3780.0,3070.0,2.0,3.0,0.0027763060294585143,0.0019846406074726032,0.021420921099607287,0.01703649174466295,0.04948495253484145,0.004933994698580164,0.5115562403697997,0.0012091100949701019,0.02916692108851845,0.005202595176888236,0.0,0.09731982350057199,0.24185387573365716,0.1648849429244428,0.31382978723404253,0.005479094994188839
34.0,3104.0,3858.0,3529.0,90.0,702.0,671.0,815.0,524.0,700.0,3695.0,3647.0,700,1840.0,1346.0,308,3780.0,1121.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7418.0,1290.0,355.0,300.0,1310.0,308.0,805.0,672.0,256.0,,,,,,,2940.0,1257.0,1.0,1.0,0.08165730634735616,0.07610665286047114,0.0053552302749018225,0.07340414344305395,0.15451423954756616,0.01341101750518332,0.3697996918335902,0.012310939148786493,0.02615456636339582,0.007222426245562492,0.13725490196078433,0.10557280601405458,0.15381501720299534,0.1215799963761551,0.2393617021276596,0.002242340603682366
35.0,3491.0,241.0,190.0,135.0,135.0,815.0,285.0,166.0,485.0,,,,,,,5160.0,337.0,1.0,10825,1220.0,405.0,155.0,941.0,134,250.0,276.0,485,,,,,,,2880.0,591.0,1,,,,,,,,,,,,,13507.0,7282.0,6225.0,90.0,1083.0,485.0,1250.0,850.0,700.0,,,,,,,3780.0,1310.0,1.0,2.0,0.005001589488184805,0.004077142117525239,0.021420921099607287,0.01377642233673362,0.047465158553827505,0.0040154318557593886,0.5115562403697997,0.003693281744635948,0.14811422523457696,0.12698412698412698,0.0,0.08702402353325707,0.24387775753895977,0.15383221598115598,0.31382978723404253,0.002336961664188071
